Song ID,Title,Artist,Album,Genre,Release Year,Duration (sec),Popularity,Streams/Views (Millions),Language,Country,Platform,Playlist Name,Listener Age Group,User Rating,Comments Count
YOU_36,Song 36,Artist 36,Album 36,Rock,2000,226,15,122.83,Japanese,Australia,YouTube,Playlist 36,13-18,4.78,3417
YOU_37,Song 37,Artist 37,Album 37,Jazz,1992,265,12,225.6,German,UK,YouTube,Playlist 37,35-44,2.25,9847
YOU_38,Song 38,Artist 38,Album 38,Jazz,2011,218,28,462.99,Korean,UK,YouTube,Playlist 38,35-44,2.77,9458
YOU_39,Song 39,Artist 39,Album 39,Country,1979,192,84,330.34,French,USA,YouTube,Playlist 39,45+,1.46,2945
YOU_40,Song 40,Artist 40,Album 40,EDM,2001,241,24,195.0,Other,Canada,YouTube,Playlist 40,25-34,4.35,9352
YOU_41,Song 41,Artist 41,Album 41,EDM,2012,149,21,66.57,English,India,YouTube,Playlist 41,19-24,1.11,8632
YOU_42,Song 42,Artist 42,Album 42,Country,2022,307,10,131.98,French,Germany,YouTube,Playlist 42,19-24,4.34,2092
YOU_43,Song 43,Artist 43,Album 43,EDM,1999,407,78,291.03,Korean,Australia,YouTube,Playlist 43,19-24,1.56,2705
YOU_44,Song 44,Artist 44,Album 44,Hip-Hop,2008,314,18,359.37,Japanese,Germany,YouTube,Playlist 44,25-34,4.55,3759
YOU_45,Song 45,Artist 45,Album 45,Jazz,2000,275,88,63.09,Japanese,USA,YouTube,Playlist 45,13-18,3.92,5112
YOU_46,Song 46,Artist 46,Album 46,Country,1987,291,14,300.2,Spanish,Australia,YouTube,Playlist 46,19-24,1.66,553
YOU_47,Song 47,Artist 47,Album 47,Jazz,2005,160,34,275.63,Korean,Australia,YouTube,Playlist 47,13-18,3.26,4904
YOU_48,Song 48,Artist 48,Album 48,Pop,1971,182,58,257.46,Other,Germany,YouTube,Playlist 48,25-34,2.25,1112
YOU_49,Song 49,Artist 49,Album 49,Hip-Hop,1983,142,76,345.37,Spanish,Canada,YouTube,Playlist 49,25-34,1.71,2777
YOU_50,Song 50,Artist 50,Album 50,Classical,1982,194,22,418.89,Spanish,USA,YouTube,Playlist 50,45+,4.44,7097
YOU_51,Song 51,Artist 51,Album 51,Hip-Hop,1998,167,70,162.17,Spanish,Canada,YouTube,Playlist 51,19-24,2.61,1314
YOU_52,Song 52,Artist 52,Album 52,Country,1981,279,36,444.62,French,USA,YouTube,Playlist 52,45+,2.59,3493
YOU_53,Song 53,Artist 53,Album 53,Classical,2008,237,45,81.16,Other,Germany,YouTube,Playlist 53,19-24,1.68,8290
YOU_54,Song 54,Artist 54,Album 54,Pop,1971,219,36,87.34,English,USA,YouTube,Playlist 54,25-34,2.53,7473
YOU_55,Song 55,Artist 55,Album 55,Country,2001,286,22,134.12,Japanese,UK,YouTube,Playlist 55,25-34,4.49,7015
YOU_56,Song 56,Artist 56,Album 56,Rock,1982,409,78,60.65,French,Australia,YouTube,Playlist 56,35-44,2.45,9671
YOU_57,Song 57,Artist 57,Album 57,Jazz,2015,275,80,115.93,English,India,YouTube,Playlist 57,35-44,4.81,5710
YOU_58,Song 58,Artist 58,Album 58,Pop,1996,126,61,54.1,Japanese,Germany,YouTube,Playlist 58,25-34,4.79,1222
YOU_59,Song 59,Artist 59,Album 59,Jazz,2018,315,100,411.05,Other,Brazil,YouTube,Playlist 59,25-34,1.58,4583
YOU_60,Song 60,Artist 60,Album 60,EDM,2010,175,56,70.35,Other,India,YouTube,Playlist 60,13-18,1.71,5520
YOU_61,Song 61,Artist 61,Album 61,Rock,1986,312,89,373.9,Korean,Germany,YouTube,Playlist 61,13-18,4.45,7872
YOU_62,Song 62,Artist 62,Album 62,Rock,2009,166,96,24.91,Japanese,India,YouTube,Playlist 62,45+,2.57,9196
YOU_63,Song 63,Artist 63,Album 63,Pop,2000,267,33,474.31,Japanese,UK,YouTube,Playlist 63,35-44,1.02,8668
YOU_64,Song 64,Artist 64,Album 64,Rock,2003,394,45,355.87,Other,India,YouTube,Playlist 64,35-44,2.1,5431
YOU_65,Song 65,Artist 65,Album 65,Classical,1993,276,36,4.39,Japanese,USA,YouTube,Playlist 65,25-34,3.39,9327
YOU_66,Song 66,Artist 66,Album 66,Rock,2014,321,20,382.16,German,India,YouTube,Playlist 66,25-34,4.2,1705
YOU_67,Song 67,Artist 67,Album 67,Jazz,2004,245,18,257.53,Korean,Germany,YouTube,Playlist 67,45+,1.53,517
YOU_68,Song 68,Artist 68,Album 68,Jazz,2017,413,38,389.9,French,Brazil,YouTube,Playlist 68,35-44,1.44,1220
YOU_69,Song 69,Artist 69,Album 69,Country,1975,183,67,261.73,French,Brazil,YouTube,Playlist 69,13-18,4.69,2506
YOU_70,Song 70,Artist 70,Album 70,Jazz,1988,295,23,320.87,English,Canada,YouTube,Playlist 70,19-24,4.0,4325
YOU_71,Song 71,Artist 71,Album 71,Country,1999,235,96,393.38,French,Australia,YouTube,Playlist 71,45+,3.36,9383
YOU_72,Song 72,Artist 72,Album 72,Jazz,1976,323,16,203.15,Spanish,India,YouTube,Playlist 72,19-24,4.08,5479
YOU_73,Song 73,Artist 73,Album 73,Classical,1979,150,59,2.35,Japanese,Brazil,YouTube,Playlist 73,13-18,2.72,7436
YOU_74,Song 74,Artist 74,Album 74,Country,2010,232,69,425.12,French,India,YouTube,Playlist 74,13-18,4.03,3090
YOU_75,Song 75,Artist 75,Album 75,Hip-Hop,2001,186,68,191.06,English,Australia,YouTube,Playlist 75,19-24,2.49,6497
YOU_76,Song 76,Artist 76,Album 76,EDM,2003,194,21,248.53,English,Brazil,YouTube,Playlist 76,45+,1.98,5168
YOU_77,Song 77,Artist 77,Album 77,Pop,1997,164,78,4.88,Spanish,Australia,YouTube,Playlist 77,19-24,3.92,6993
YOU_78,Song 78,Artist 78,Album 78,Jazz,1984,379,95,246.55,English,India,YouTube,Playlist 78,45+,2.68,973
YOU_79,Song 79,Artist 79,Album 79,Rock,1999,273,78,493.26,Other,Germany,YouTube,Playlist 79,45+,4.93,5277
YOU_80,Song 80,Artist 80,Album 80,Jazz,2006,274,70,139.86,German,India,YouTube,Playlist 80,25-34,2.4,8257
YOU_81,Song 81,Artist 81,Album 81,Rock,1998,353,12,198.31,Other,Australia,YouTube,Playlist 81,35-44,4.69,6092
YOU_82,Song 82,Artist 82,Album 82,EDM,1991,170,16,343.91,Japanese,Germany,YouTube,Playlist 82,35-44,4.73,2906
YOU_83,Song 83,Artist 83,Album 83,EDM,1973,381,81,407.58,Japanese,Germany,YouTube,Playlist 83,13-18,1.97,570
YOU_84,Song 84,Artist 84,Album 84,EDM,1989,244,87,209.28,Japanese,Canada,YouTube,Playlist 84,25-34,4.19,307
YOU_85,Song 85,Artist 85,Album 85,Rock,2001,364,14,155.52,Korean,Brazil,YouTube,Playlist 85,35-44,2.73,3742
YOU_86,Song 86,Artist 86,Album 86,Jazz,2005,149,61,468.98,French,USA,YouTube,Playlist 86,45+,4.67,8974
YOU_87,Song 87,Artist 87,Album 87,EDM,2019,241,71,338.9,German,Germany,YouTube,Playlist 87,45+,2.8,765
YOU_88,Song 88,Artist 88,Album 88,Classical,1973,244,46,60.39,French,Australia,YouTube,Playlist 88,19-24,3.98,8964
YOU_89,Song 89,Artist 89,Album 89,Country,1996,156,32,35.4,German,Brazil,YouTube,Playlist 89,19-24,2.87,7814
YOU_90,Song 90,Artist 90,Album 90,Rock,1986,289,15,242.29,French,UK,YouTube,Playlist 90,45+,1.91,7735
YOU_91,Song 91,Artist 91,Album 91,Rock,1981,243,44,110.82,Spanish,India,YouTube,Playlist 91,45+,1.8,8036
YOU_92,Song 92,Artist 92,Album 92,Jazz,1991,154,17,127.74,Other,Australia,YouTube,Playlist 92,19-24,2.7,7596
YOU_93,Song 93,Artist 93,Album 93,Rock,1986,206,41,438.97,English,UK,YouTube,Playlist 93,35-44,4.02,539
YOU_94,Song 94,Artist 94,Album 94,Rock,1979,253,54,45.69,English,Australia,YouTube,Playlist 94,13-18,3.42,7985
YOU_95,Song 95,Artist 95,Album 95,EDM,1970,315,44,357.97,Other,India,YouTube,Playlist 95,19-24,3.75,2049
YOU_96,Song 96,Artist 96,Album 96,Jazz,1991,393,98,136.3,Spanish,Canada,YouTube,Playlist 96,35-44,2.13,3283
YOU_97,Song 97,Artist 97,Album 97,EDM,1995,320,5,380.4,German,Australia,YouTube,Playlist 97,35-44,2.93,4675
YOU_98,Song 98,Artist 98,Album 98,Country,1987,404,27,361.48,Other,Germany,YouTube,Playlist 98,35-44,1.18,1663
YOU_99,Song 99,Artist 99,Album 99,Country,2019,196,87,4.69,Korean,USA,YouTube,Playlist 99,25-34,4.27,6476
YOU_100,Song 100,Artist 100,Album 100,EDM,1983,178,78,255.06,German,Germany,YouTube,Playlist 0,25-34,4.96,9239
YOU_101,Song 101,Artist 101,Album 101,Country,2016,245,79,70.52,English,India,YouTube,Playlist 1,35-44,2.63,3439
YOU_102,Song 102,Artist 102,Album 102,Jazz,1998,228,43,433.25,Korean,Australia,YouTube,Playlist 2,45+,1.04,8697
YOU_103,Song 103,Artist 103,Album 103,Pop,1981,343,97,435.92,French,USA,YouTube,Playlist 3,25-34,1.68,7143
YOU_104,Song 104,Artist 104,Album 104,EDM,2005,397,31,209.75,Korean,Germany,YouTube,Playlist 4,19-24,3.61,3247
YOU_105,Song 105,Artist 105,Album 105,Classical,2004,187,99,222.75,German,USA,YouTube,Playlist 5,25-34,3.45,3500
YOU_106,Song 106,Artist 106,Album 106,Classical,2021,188,17,152.34,Spanish,India,YouTube,Playlist 6,45+,4.15,1910
YOU_107,Song 107,Artist 107,Album 107,Rock,1981,284,92,358.59,French,Canada,YouTube,Playlist 7,13-18,2.02,732
YOU_108,Song 108,Artist 108,Album 108,Country,1976,281,83,179.97,German,Canada,YouTube,Playlist 8,25-34,4.05,3513
YOU_109,Song 109,Artist 109,Album 109,Classical,1998,161,54,134.63,French,Australia,YouTube,Playlist 9,35-44,3.75,9763
YOU_110,Song 110,Artist 110,Album 110,Rock,1980,228,62,216.68,Korean,Germany,YouTube,Playlist 10,35-44,2.29,4609
YOU_111,Song 111,Artist 111,Album 111,Pop,2002,170,87,46.65,English,UK,YouTube,Playlist 11,35-44,3.18,4456
YOU_112,Song 112,Artist 112,Album 112,Jazz,1975,369,32,373.55,German,India,YouTube,Playlist 12,13-18,1.59,3335
YOU_113,Song 113,Artist 113,Album 113,Jazz,2016,140,40,7.29,Spanish,Germany,YouTube,Playlist 13,45+,2.81,8168
YOU_114,Song 114,Artist 114,Album 114,Jazz,1984,419,13,322.6,Other,Germany,YouTube,Playlist 14,19-24,4.52,7056
YOU_115,Song 115,Artist 115,Album 115,Classical,2001,258,84,92.25,Korean,Canada,YouTube,Playlist 15,45+,2.68,2753
YOU_116,Song 116,Artist 116,Album 116,Pop,2020,211,35,116.97,German,Australia,YouTube,Playlist 16,13-18,4.36,1372
YOU_117,Song 117,Artist 117,Album 117,Classical,1980,399,5,318.18,Spanish,USA,YouTube,Playlist 17,35-44,3.36,9636
YOU_118,Song 118,Artist 118,Album 118,Country,1992,244,73,496.48,German,India,YouTube,Playlist 18,45+,1.77,3376
YOU_119,Song 119,Artist 119,Album 119,Classical,1995,230,29,389.08,Korean,USA,YouTube,Playlist 19,19-24,3.32,8481
YOU_120,Song 120,Artist 120,Album 120,Pop,2003,258,70,113.69,German,Brazil,YouTube,Playlist 20,35-44,3.02,63
YOU_121,Song 121,Artist 121,Album 121,Pop,2015,392,25,88.84,French,Brazil,YouTube,Playlist 21,19-24,2.59,3945
YOU_122,Song 122,Artist 122,Album 122,Country,2003,218,95,433.25,Korean,India,YouTube,Playlist 22,25-34,1.48,329
YOU_123,Song 123,Artist 123,Album 123,Pop,1998,371,22,222.65,German,Australia,YouTube,Playlist 23,19-24,2.67,4858
YOU_124,Song 124,Artist 124,Album 124,Pop,1973,223,66,69.39,Other,UK,YouTube,Playlist 24,35-44,1.29,1963
YOU_125,Song 125,Artist 125,Album 125,Jazz,1986,333,45,431.24,English,Brazil,YouTube,Playlist 25,25-34,1.4,3088
YOU_126,Song 126,Artist 126,Album 126,Country,2004,368,69,408.23,German,Canada,YouTube,Playlist 26,35-44,2.66,140
YOU_127,Song 127,Artist 127,Album 127,Hip-Hop,1982,271,91,491.97,French,UK,YouTube,Playlist 27,35-44,2.22,4539
YOU_128,Song 128,Artist 128,Album 128,Hip-Hop,2010,369,89,454.96,Spanish,Germany,YouTube,Playlist 28,25-34,4.7,2473
YOU_129,Song 129,Artist 129,Album 129,Pop,2008,394,72,426.04,Other,Brazil,YouTube,Playlist 29,19-24,2.5,5594
YOU_130,Song 130,Artist 130,Album 130,Hip-Hop,1984,284,1,27.23,Spanish,Canada,YouTube,Playlist 30,13-18,4.03,3903
YOU_131,Song 131,Artist 131,Album 131,Hip-Hop,1998,127,84,53.1,Other,Germany,YouTube,Playlist 31,13-18,3.12,5364
YOU_132,Song 132,Artist 132,Album 132,Pop,1998,403,44,284.92,Spanish,UK,YouTube,Playlist 32,13-18,3.82,449
YOU_133,Song 133,Artist 133,Album 133,Hip-Hop,1980,124,87,266.21,English,India,YouTube,Playlist 33,13-18,2.04,4446
YOU_134,Song 134,Artist 134,Album 134,Classical,2021,264,96,229.52,French,Germany,YouTube,Playlist 34,45+,4.77,4694
YOU_135,Song 135,Artist 135,Album 135,Rock,2001,220,75,199.0,Korean,USA,YouTube,Playlist 35,13-18,3.12,4806
YOU_136,Song 136,Artist 136,Album 136,Country,1971,283,39,216.17,Spanish,India,YouTube,Playlist 36,25-34,4.33,869
YOU_137,Song 137,Artist 137,Album 137,Rock,2016,266,54,285.08,Other,India,YouTube,Playlist 37,13-18,2.46,6079
YOU_138,Song 138,Artist 138,Album 138,Pop,1983,183,88,2.04,French,UK,YouTube,Playlist 38,35-44,1.4,7307
YOU_139,Song 139,Artist 139,Album 139,Jazz,1989,210,75,131.09,German,UK,YouTube,Playlist 39,13-18,3.69,3659
YOU_140,Song 140,Artist 140,Album 140,Country,1991,236,29,259.62,English,Canada,YouTube,Playlist 40,19-24,1.03,3602
YOU_141,Song 141,Artist 141,Album 141,Pop,1980,386,54,361.39,French,Canada,YouTube,Playlist 41,25-34,2.9,8584
YOU_142,Song 142,Artist 142,Album 142,Jazz,1996,292,90,87.9,French,USA,YouTube,Playlist 42,25-34,1.77,9033
YOU_143,Song 143,Artist 143,Album 143,Rock,1972,166,16,273.89,Korean,India,YouTube,Playlist 43,45+,3.51,2448
YOU_144,Song 144,Artist 144,Album 144,Pop,1986,259,99,357.52,French,Australia,YouTube,Playlist 44,35-44,4.92,7592
YOU_145,Song 145,Artist 145,Album 145,Country,2013,365,20,222.87,Korean,USA,YouTube,Playlist 45,25-34,2.86,2953
YOU_146,Song 146,Artist 146,Album 146,Country,1997,268,46,14.51,English,USA,YouTube,Playlist 46,19-24,4.27,5131
YOU_147,Song 147,Artist 147,Album 147,EDM,1998,365,67,225.18,English,Australia,YouTube,Playlist 47,13-18,3.03,1358
YOU_148,Song 148,Artist 148,Album 148,Classical,1990,124,65,148.93,German,Australia,YouTube,Playlist 48,25-34,2.98,9182
YOU_149,Song 149,Artist 149,Album 149,Hip-Hop,2016,303,58,464.9,Korean,Australia,YouTube,Playlist 49,19-24,4.72,9230
YOU_150,Song 150,Artist 150,Album 150,Jazz,1985,139,53,63.18,Korean,UK,YouTube,Playlist 50,13-18,4.56,8219
YOU_151,Song 151,Artist 151,Album 151,EDM,2006,165,1,326.59,Spanish,USA,YouTube,Playlist 51,45+,4.14,387
YOU_152,Song 152,Artist 152,Album 152,Hip-Hop,1989,131,81,27.31,Spanish,USA,YouTube,Playlist 52,25-34,2.19,832
YOU_153,Song 153,Artist 153,Album 153,Hip-Hop,1975,189,66,223.64,German,Germany,YouTube,Playlist 53,25-34,3.18,8441
YOU_154,Song 154,Artist 154,Album 154,Pop,1988,136,29,277.44,English,Australia,YouTube,Playlist 54,19-24,1.9,9720
YOU_155,Song 155,Artist 155,Album 155,Hip-Hop,1974,266,84,149.68,Japanese,Australia,YouTube,Playlist 55,35-44,2.78,4193
YOU_156,Song 156,Artist 156,Album 156,Classical,1972,273,70,228.08,Spanish,Canada,YouTube,Playlist 56,45+,2.94,1838
YOU_157,Song 157,Artist 157,Album 157,Country,1970,227,8,82.61,French,Canada,YouTube,Playlist 57,35-44,4.33,9552
YOU_158,Song 158,Artist 158,Album 158,EDM,2007,355,29,152.76,English,India,YouTube,Playlist 58,25-34,4.58,9515
YOU_159,Song 159,Artist 159,Album 159,Hip-Hop,1984,189,51,310.93,Japanese,Canada,YouTube,Playlist 59,35-44,2.66,891
YOU_160,Song 160,Artist 160,Album 160,Pop,2003,302,33,151.6,French,Brazil,YouTube,Playlist 60,13-18,1.07,5588
YOU_161,Song 161,Artist 161,Album 161,Classical,2004,369,3,449.97,Other,India,YouTube,Playlist 61,45+,4.45,1305
YOU_162,Song 162,Artist 162,Album 162,Rock,2018,347,60,314.58,Korean,Australia,YouTube,Playlist 62,35-44,1.7,5283
YOU_163,Song 163,Artist 163,Album 163,Country,1994,221,35,219.89,English,Germany,YouTube,Playlist 63,13-18,3.49,4548
YOU_164,Song 164,Artist 164,Album 164,Country,1993,194,69,20.34,Other,Canada,YouTube,Playlist 64,19-24,1.1,4192
YOU_165,Song 165,Artist 165,Album 165,EDM,1981,335,91,250.27,German,Germany,YouTube,Playlist 65,35-44,2.6,6452
YOU_166,Song 166,Artist 166,Album 166,Country,1987,322,76,382.62,Korean,Canada,YouTube,Playlist 66,45+,4.94,8453
YOU_167,Song 167,Artist 167,Album 167,Hip-Hop,1984,311,84,133.51,Korean,Canada,YouTube,Playlist 67,13-18,1.4,2340
YOU_168,Song 168,Artist 168,Album 168,Pop,2013,368,20,403.58,French,Germany,YouTube,Playlist 68,35-44,2.69,1793
YOU_169,Song 169,Artist 169,Album 169,Country,1985,361,73,126.65,Other,USA,YouTube,Playlist 69,19-24,2.23,6394
YOU_170,Song 170,Artist 170,Album 170,Country,1996,298,39,412.05,Korean,USA,YouTube,Playlist 70,35-44,4.62,324
YOU_171,Song 171,Artist 171,Album 171,Rock,1977,338,4,43.55,Spanish,USA,YouTube,Playlist 71,13-18,4.48,9177
YOU_172,Song 172,Artist 172,Album 172,Rock,2015,201,19,433.23,English,Brazil,YouTube,Playlist 72,35-44,1.95,7848
YOU_173,Song 173,Artist 173,Album 173,Jazz,1994,211,91,250.09,Spanish,USA,YouTube,Playlist 73,45+,1.32,8114
YOU_174,Song 174,Artist 174,Album 174,Classical,1986,294,45,148.97,French,Canada,YouTube,Playlist 74,25-34,3.51,6644
YOU_175,Song 175,Artist 175,Album 175,Hip-Hop,1998,358,43,133.29,Japanese,Australia,YouTube,Playlist 75,13-18,2.35,4782
YOU_176,Song 176,Artist 176,Album 176,Country,2022,379,13,216.57,French,UK,YouTube,Playlist 76,13-18,3.69,9931
YOU_177,Song 177,Artist 177,Album 177,Country,1977,282,13,499.53,English,Germany,YouTube,Playlist 77,13-18,1.13,3137
YOU_178,Song 178,Artist 178,Album 178,Pop,1984,167,60,110.94,Korean,Australia,YouTube,Playlist 78,13-18,1.53,3898
YOU_179,Song 179,Artist 179,Album 179,Jazz,1996,235,57,52.51,Other,UK,YouTube,Playlist 79,35-44,3.75,835
YOU_180,Song 180,Artist 180,Album 180,Classical,2015,344,86,292.93,Other,Australia,YouTube,Playlist 80,45+,1.85,4154
YOU_181,Song 181,Artist 181,Album 181,Jazz,2019,266,92,244.78,German,Brazil,YouTube,Playlist 81,19-24,4.43,2778
YOU_182,Song 182,Artist 182,Album 182,EDM,2021,182,52,262.57,French,UK,YouTube,Playlist 82,45+,1.23,9588
YOU_183,Song 183,Artist 183,Album 183,Classical,1976,413,53,333.8,English,India,YouTube,Playlist 83,13-18,1.86,6409
YOU_184,Song 184,Artist 184,Album 184,Country,1972,132,86,134.3,German,USA,YouTube,Playlist 84,35-44,4.99,9868
YOU_185,Song 185,Artist 185,Album 185,Country,1998,308,43,455.42,Korean,Brazil,YouTube,Playlist 85,35-44,2.73,4313
YOU_186,Song 186,Artist 186,Album 186,Classical,2013,406,83,218.4,Japanese,Australia,YouTube,Playlist 86,13-18,3.81,5646
YOU_187,Song 187,Artist 187,Album 187,Country,2022,327,72,65.41,French,Canada,YouTube,Playlist 87,35-44,1.73,7608
YOU_188,Song 188,Artist 188,Album 188,Hip-Hop,1993,233,72,371.41,Japanese,USA,YouTube,Playlist 88,13-18,3.44,3721
YOU_189,Song 189,Artist 189,Album 189,Classical,1972,141,42,321.91,English,USA,YouTube,Playlist 89,45+,3.9,7911
YOU_190,Song 190,Artist 190,Album 190,Jazz,1989,333,90,158.56,Japanese,UK,YouTube,Playlist 90,25-34,2.26,1671
YOU_191,Song 191,Artist 191,Album 191,Classical,2015,290,26,311.14,Japanese,India,YouTube,Playlist 91,35-44,4.32,916
YOU_192,Song 192,Artist 192,Album 192,Country,1984,173,23,110.71,English,USA,YouTube,Playlist 92,13-18,3.41,5588
YOU_193,Song 193,Artist 193,Album 193,Hip-Hop,1994,417,43,222.97,English,Australia,YouTube,Playlist 93,13-18,2.56,9109
YOU_194,Song 194,Artist 194,Album 194,Hip-Hop,1999,245,77,449.81,French,Australia,YouTube,Playlist 94,35-44,3.23,9325
YOU_195,Song 195,Artist 195,Album 195,EDM,1983,396,28,67.63,Japanese,Germany,YouTube,Playlist 95,19-24,3.31,6496
YOU_196,Song 196,Artist 196,Album 196,Jazz,1976,323,9,193.96,German,Germany,YouTube,Playlist 96,13-18,1.66,1836
YOU_197,Song 197,Artist 197,Album 197,Rock,1986,313,20,410.75,English,USA,YouTube,Playlist 97,35-44,2.61,2138
YOU_198,Song 198,Artist 198,Album 198,Rock,2013,288,56,484.78,Korean,UK,YouTube,Playlist 98,13-18,2.37,4007
YOU_199,Song 199,Artist 199,Album 199,Classical,1989,271,83,227.51,Japanese,UK,YouTube,Playlist 99,19-24,2.6,1905
YOU_200,Song 200,Artist 200,Album 0,EDM,2005,154,39,253.99,English,Canada,YouTube,Playlist 0,25-34,4.04,3989
YOU_201,Song 201,Artist 201,Album 1,Pop,1978,303,51,286.51,German,Brazil,YouTube,Playlist 1,19-24,2.93,3485
YOU_202,Song 202,Artist 202,Album 2,Classical,2007,405,12,466.24,Other,Brazil,YouTube,Playlist 2,45+,4.76,4797
YOU_203,Song 203,Artist 203,Album 3,EDM,2017,176,79,429.25,French,Brazil,YouTube,Playlist 3,35-44,2.17,2732
YOU_204,Song 204,Artist 204,Album 4,Jazz,1991,341,95,86.13,Japanese,India,YouTube,Playlist 4,19-24,2.66,7714
YOU_205,Song 205,Artist 205,Album 5,Jazz,2022,282,55,218.94,Other,UK,YouTube,Playlist 5,25-34,4.15,1321
